331002010102   500103  5000104  8000105 10000106 10000107   500108  8000109  500
331002020110  3000111  1000112  1000113  3000114  3000115  2000116  5000117  300
331002030118  3000203  4000204  6000205  6000206  7000207   500208  5000209  100
331002040210  2000211  1000212  1000213  2000214  1000215  1000216  1000217  100
331002050218    00304    00305    00306    00307  3000308  3000309  5000310    0
331002060311  3000312  1000313  1000314  1000315  5000316  4000317  5000318  400
331002070405    00406    00407  2000408    00409  5000410    00411  1000412  100
331002080413  1000414  1000415  3000416  5000417  2000418  1000506    00507  500
331002090508    00509  5000510    00511    00512    00513    00514    00515  300
331002100516  5000517  2000518  1000607  5000608    00609  5000610    00611  300
331002110612  3000613  2000614  3000615  3000616  7000617  3000618  1000708  500
331002120709  1000710  5000711  3000712  2000713  7000714  6000715  2000716  100
331002130717  3000718  1000809  2000810    00811  3000812  3000813  2000814  100
331002140815  6000816  3000817  5000818  2000910  5000911  4000912  4000913  600
331002150914  3000915  4000916    00917  3000918  3001011  3001012  2001013  300
331002161014  3001015  3001016  3001017  3001018  2001112  2001113  5001114  400
331002171115  4001116  8001117  3001118  3001213  2001214  3001215  5001216  600
331002181217  1001218  1001314  2001315  3001316  4001317  6001318  5001415  100
331002191416  2001417  3001418  3001516  6001517  5001518  3001617  2001618  300
331002201718  100
33100221 2 4 818112 4298814 251455515522333 81120 4 82129 9 1 3 7 6341
321003010102   200103  1000104  1000105  1000106  1000107   200108  1000109   20
321003020110  1000111  1000112   700113   500114   500115   500116   500117   30
321003030118   200203   500204  1000205  2000206  1000207   200208  1000209  100
321003040210  1000211  1000212  1000213  1000214  1000215  1000216  1000217  100
321003050218    00304   500305    00306   500307  2000308    00309    00310    0
321003060311   200312   500313   500314   500315   500316   500317   500318   50
321003070405    00406    00407    00408    00409  2500410    00411    00412    0
321003080413    00414   500415   500416   500417   500418   500506   500507   50
321003090508    00509  2000510    00511    00512    00513    00514    00515    0
321003100516   500517   500518   500607  1500608    00609  3000610   500611   50
321003110612  1000613  1000614  1000615  1000616  1000617  1000618  1000708  100
321003120709    00710    00711  1000712  1000713  1000714  1000715  1000716  100
321003130717   500718    00809  1000810    00811  1000812  1000813  1000814  100
321003140815  1000816    00817  1000818  1000910  1000911  1000912  1000913   30
321003150914   500915   500916   500917   500918   501011    01012    01013    0
321003161014   301015   501016   201017   301018   701112   201113   201114   20
321003171115   201116  1001117  1001118  2001213   501214   501215   501216  100
321003181217   501218   501314   201315   301316   501317  1001318  1001415  100
321003191416   301417   501418   501516   201517   301518   301617    01618  100
321003201718   70
3210032121999999111 4278814 321211352223111 81524 89999999999999999311
331001010102    00103  3000104  1000105  2000106  2000107    00108  3000109  200
331001020110  2000111  2000112  3000113  3000114  1000115  2000116  2000117  200
331001030118  1000203  4000204  3000205  2000206  3000207  1000208  2000209  200
331001040210  2000211  3000212  2000213  3000214  2000215  1000216  3000217  200
331001050218  1000304  1000305  1000306  1000307  3000308  1000309  2000310  100
331001060311  1000312  2000313  1000314  1000315  1000316  1000317  2000318  400
331001070405    00406    00407  3000408    00409  2000410  1000411    00412  100
331001080413  2000414    00415    00416  1000417  1000418    00506    00507  200
331001090508    00509  1000510    00511    00512  1000513    00514    00515    0
331001100516  1000517  1000518  1000607  3000608  1000609  1000610  1000611    0
331001110612  2000613  1000614  1000615  1000616  1000617  2000618  1000708  200
331001120709  2000710  3000711  1000712  2000713  1000714  2000715  3000716  100
331001130717    00718  1000809    00810    00811  1000812  2000813  1000814  100
331001140815  2000816  1000817  3000818  1000910  1000911  2000912  1000913  200
331001150914  1000915    00916    00917  1000918  1001011    01012  1001013  100
331001161014    01015    01016  1001017  1001018    01112    01113  2001114  100
331001171115  1001116  2001117  2001118  1001213  2001214  1001215    01216  200
331001181217  1001218  2001314  2001315  2001316    01317  1001318  2001415    0
331001191416  1001417    01418    01516  2001517  1001518    01617  2001618  200
331001201718  100
3310012115219999111 5 78811 241222363221111 82130 29999999999999999312
341101010102  1000103    10104    10105    10106   400107  1000108    10109    1
341101020110   500111    10112  1000113    10114    10115    10116    10117  100
341101030118   500203    10204    10205    10206   500207  1000208    10209  100
341101040210  1000211   500212  1000213   500214  1000215   250216  1000217  100
341101050218  1000304  1000305  1000306  1000307   750308  1000309   500310  100
341101060311    10312    10313  1000314  1000315  1000316    10317    10318   50
341101070405  1000406  1000407  1000408    10409    10410   500411   500412    1
341101080413  1000414   750415  1000416   750417   750418   500506   500507   50
341101090508  1000509    10510   500511    10512    10513  1000514    10515  100
341101100516    10517    10518   250607    10608  1000609    10610   500611   50
341101110612    10613  1000614   750615  1000616   750617   500618   750708    1
341101120709  1000710    10711   250712  1000713    10714   500715   250716  100
341101130717  1000718   750809  1000810  1000811  1000812    10813   500814  100
341101140815   250816   500817   500818  1000910   750911   500912   500913    1
341101150914  1000915   250916  1000917  1000918  1001011   751012   501013   80
341101161014  1001015   501016   751017   501018   501112    11113    11114   50
341101171115  1001116    11117    11118    11213    11214    11215    11216  100
341101181217  1001218   251314    11315  1001316    11317    11318    11415   50
341101191416   751417   751418  1001516   251517    11518    11617  1001618   75
341101201718   50
34110121 2202199112 4288814 401511166322111 82130 2 5 6159999999999232
